## 승률은 특징변수들과 정렬순서가 달라 직접 입력하였습니다.,,,,,,,,,,,,,,,,,,
,score,hit,homerun,fourball,strikeout,OPS,winrate,,136,485,704,787,,644,1155,,787,0.591
164,579,1203,94,463,858,716,450,0.45,100,470,891,726,,,,,,
165,584,1157,100,470,891,726,546,0.546,93,488,906,700,,,,,,
166,568,1112,93,488,906,700,450,0.45,79,460,992,676,,,,,,
167,512,1065,79,460,992,676,389,0.389,89,500,813,742,,,,,,
168,628,1205,89,500,813,742,611,0.611,108,445,864,717,,,,,,
169,564,1120,108,445,864,717,546,0.546,54,544,790,690,,,,,,
170,553,1112,54,544,790,690,488,0.488,102,476,892,696,,,,,,
171,549,1056,102,476,892,696,469,0.469,59,458,857,687,,,,,,
172,544,1184,59,458,857,687,442,0.442,71,538,907,690,,,,,,
173,509,1077,71,538,907,690,408,0.408,73,375,890,690,,,,,,
174,509,1179,73,375,890,690,512,0.512,59,362,659,673,,,,,,
175,524,1139,59,362,659,673,523,0.523,95,524,717,790,,,,,,
176,699,1271,95,524,717,790,568,0.568,113,453,818,776,,,,,,
177,669,1235,113,453,818,776,595,0.595,125,505,912,771,,,,,,
178,646,1167,125,505,912,771,571,0.571,124,465,918,752,,,,,,
179,588,1134,124,465,918,752,496,0.496,59,451,806,741,,,,,,
180,616,1210,59,451,806,741,578,0.578,88,537,864,722,,,,,,
181,587,1125,88,537,864,722,408,0.408,61,502,862,705,,,,,,
182,556,1118,61,502,862,705,532,0.532,47,479,933,690,,,,,,
183,480,1106,47,479,933,690,331,0.331,199,523,849,891,,,,,,
184,841,1323,199,523,849,891,619,0.619,161,507,743,850,,,,,,
185,812,1345,161,507,743,850,624,0.624,108,468,731,797,,,,,,
186,687,1299,108,468,731,797,465,0.465,115,447,926,795,,,,,,
187,735,1285,115,447,926,795,484,0.484,121,534,964,805,,,,,,
188,716,1289,121,534,964,805,457,0.457,143,443,918,800,,,,,,
189,737,1249,143,443,918,800,551,0.551,121,416,870,792,,,,,,
190,662,1279,121,416,870,792,422,0.422,90,524,817,761,,,,,,
191,667,1214,90,524,817,761,492,0.492,176,581,930,847,,,,,,
192,897,1515,176,581,930,847,611,0.611,203,544,1098,858,,,,,,
193,904,1512,203,544,1098,858,596,0.596,140,567,820,804,,,,,,
194,807,1436,140,567,820,804,549,0.549,161,536,1023,822,,,,,,
195,844,1437,161,536,1023,822,545,0.545,177,532,1186,802,,,,,,
196,765,1393,177,532,1186,802,462,0.462,145,490,1047,759,,,,,,
197,693,1323,145,490,1047,759,486,0.486,129,507,1112,748,,,,,,
198,670,1344,129,507,1112,748,364,0.364,130,581,1135,764,,,,,,
199,717,1316,130,581,1135,764,472,0.472,183,600,884,851,,,,,,
200,935,1504,183,600,884,851,650,0.65,169,609,1023,824,,,,,,
201,857,1457,169,609,1023,824,576,0.576,134,556,956,808,,,,,,
202,813,1464,134,556,956,808,538,0.538,142,552,864,806,,,,,,
203,852,1492,142,552,864,806,455,0.455,127,596,1061,793,,,,,,
204,777,1439,127,596,1061,793,458,0.458,170,499,997,810,,,,,,
205,803,1429,170,499,997,810,490,0.49,118,523,982,779,,,,,,
206,786,1464,118,523,982,779,500,0.5,182,429,1018,811,,,,,,
207,753,1464,182,429,1018,811,479,0.479,178,541,960,828,,,,,,
208,849,1499,178,541,960,828,596,0.596,170,499,891,840,,,,,,
209,906,1554,170,499,891,840,608,0.608,149,471,979,808,,,,,,
210,786,1489,149,471,979,808,560,0.56,141,468,1066,794,,,,,,
211,789,1479,141,468,1066,794,486,0.486,234,427,1100,806,,,,,,
212,761,1337,234,427,1100,806,524,0.524,151,457,1018,789,,,,,,
213,743,1425,151,457,1018,789,563,0.563,150,416,974,786,,,,,,
214,737,1445,150,416,974,786,430,0.43,145,429,983,768,,,,,,
215,757,1419,145,429,983,768,396,0.396,,,,,,,,,,
